track_id,label,window_start_frame,avg_speed,total_distance,straightness,median_speed,mean_turning_angle,angular_velocity,jump_frequency
0,0,0,30.140111325701547,149.69588625098433,0.344819856853416,22.849288829195174,38.215790302892856,1146.473709086786,4.429530201342282
0,0,0,107.46516770841572,533.7436662851313,0.43415751790921964,85.52105004032816,23.380945792611367,701.4283737783409,5.8389261744966445
0,0,0,117.82842524986653,585.2145120743371,0.27134559659555746,96.0004687488554,13.971291334318003,419.1387400295402,5.8389261744966445
0,0,0,63.4019537337255,314.8963702108366,0.5361499043256273,41.72589124272733,31.903805714365383,957.1141714309615,7.651006711409396
0,0,150,53.184674965418466,264.150552328245,0.9094986242383442,41.83897704294324,32.431566875433276,972.9470062629983,5.033557046979865
0,0,150,127.15006467114647,631.5119878666942,0.7951531620996011,102.25556219590058,20.8285617133181,624.8568513995428,6.040268456375839
0,0,150,110.47783355174697,548.7065733070101,0.45245114816764903,80.79362598621304,19.152376972456715,574.5713091737015,7.651006711409396
0,0,150,42.52645563958283,211.21472967659474,0.3798618856402532,28.260573242595424,58.40472553076789,1752.1417659230372,7.046979865771812
0,0,300,55.00371920842175,273.18513873516144,0.25560234755412137,22.7070473642004,28.881234136220407,866.437024086612,9.865771812080537
0,0,300,141.2463544250948,701.5235603113042,0.7129596481648871,129.51802963294386,11.476472343443893,344.2941703033167,2.61744966442953
0,0,300,94.75542195696815,470.6185957196085,0.09423843914355629,68.83676343350287,19.312526461704437,579.375793851133,7.449664429530201
0,0,300,72.35963394449585,359.3861819243293,0.8198834689864973,48.466483264210794,30.03876850559261,901.1630551677782,6.845637583892617
0,0,450,28.925146500785832,143.66156095390298,0.10110289576368167,20.580087463372163,37.2300956013616,1116.902868040848,6.442953020134228
0,0,450,100.87242391343082,500.9997054367064,0.5105433761760082,82.7831504594966,22.27584202522977,668.275260756893,5.6375838926174495
0,0,450,93.88363630253002,466.2887269692325,0.32324917165985534,67.19598202273752,24.84051759540722,745.2155278622167,7.248322147651007
0,0,450,93.31905655341816,463.48464754864347,0.7212160813838125,67.54864913527116,23.017826423995974,690.5347927198793,7.651006711409396
0,0,600,39.96260310941756,198.4809287767739,0.11985322387975952,20.795432190747434,36.6978155494998,1100.9344664849943,7.85234899328859
0,0,600,93.99057854898325,466.81987345995014,0.38471562614556115,74.59631358183697,32.58480688579984,977.5442065739954,6.241610738255034
0,0,600,106.74256000355774,530.1547146843368,0.08868964272689187,82.91513733933036,26.26244392684393,787.8733178053179,6.442953020134228
0,0,600,69.44480659873075,344.90920610702943,0.5671905022223314,50.09191551538113,23.63599953478518,709.0799860435554,7.449664429530201
0,0,750,46.6458649565314,231.67446261743927,0.16728485665047135,29.99549966245132,42.43608132835483,1273.0824398506452,6.442953020134228
0,0,750,62.14947970759122,308.6757492143697,0.4257665731397243,41.62222963753965,30.24075799816406,907.2227399449218,7.651006711409396
0,0,750,107.5047085863149,533.9400526453641,0.3037672966800682,86.59405291358136,23.479795811839434,704.3938743551829,5.033557046979865
0,0,750,64.2134667536147,318.9268848762863,0.5123190422914247,47.28403536078657,20.148731236008494,604.4619370802549,5.8389261744966445
0,0,900,67.70376617328955,336.26203866067135,0.23259122128765336,51.85836480260642,25.07236477705269,752.1709433115805,5.8389261744966445
0,0,900,108.65658655547905,539.6610465588792,0.034576018085527724,90.80638744053374,20.437117908006513,613.1135372401955,5.23489932885906
0,0,900,90.25757196920945,448.2792741137402,0.10107224339115262,66.87376167077885,21.23396543031778,637.0189629095335,6.241610738255034
0,0,900,74.60114581063988,370.51902419284465,0.40129899896846966,50.256939819291375,20.79234151782853,623.7702455348558,7.651006711409396
0,0,1050,38.59092250777914,191.668248455303,0.7486389997442295,17.88463027294718,37.16815506646204,1115.044651993861,9.060402684563758
0,0,1050,76.63013648339441,380.5963445341922,0.3095915858324572,56.412764513007005,26.767720745094515,803.0316223528355,7.651006711409396
0,0,1050,92.39837112591015,458.91190992535377,0.13839873677659714,60.811265403707026,29.6009043617178,888.027130851534,7.248322147651007
0,0,1050,81.09223440424176,402.7580975410674,0.5117834185535355,52.554828512706514,26.78243857148648,803.4731571445944,8.456375838926174
0,0,1200,31.52603072650617,156.5792859416473,0.5659205924366248,17.44133022449693,45.19240735568309,1355.7722206704927,7.248322147651007
0,0,1200,69.3738539270362,344.55680783761306,0.30382096763523875,54.29999999999882,18.637534331535942,559.1260299460783,5.6375838926174495
0,0,1200,107.75421047174227,535.1792453429865,0.26988586856877955,82.67000665295657,19.09079762834564,572.7239288503692,6.241610738255034
0,0,1200,64.19027934528575,318.8117207482525,0.4794305793528299,44.88485267882776,28.87094044467921,866.1282133403763,6.040268456375839
0,0,1350,25.83967007635117,128.33702804587747,0.38997279094724324,17.710166571775463,45.591114158222844,1367.7334247466852,5.8389261744966445
0,0,1350,108.08539065894291,536.8241069394164,0.2093281504292539,89.50715055234359,21.51999879403527,645.5999638210583,6.040268456375839
0,0,1350,87.87973600414755,436.46935548726617,0.3015427806594947,60.77869692581464,18.694355486392052,560.8306645917617,7.248322147651007
0,0,1350,52.45668314622395,260.53485962624563,0.2405039852579033,33.35940646954129,36.3944028114699,1091.8320843440972,7.449664429530201
0,0,1500,30.083249969278384,149.41347484741596,0.25686666370642897,21.652020690919233,38.57041435511386,1157.1124306534157,6.845637583892617
0,0,1500,87.82341491113729,436.1896273919819,0.24161054924162828,61.179408300505166,33.298974933590635,998.969248007719,8.25503355704698
0,0,1500,87.85785495947133,436.3606796320409,0.2372606112549172,60.989343331437695,20.515399150737366,615.4619745221211,8.657718120805368
0,0,1500,31.776886252635705,157.82520172142398,0.8517050982476798,23.378836583542302,35.656807323720955,1069.7042197116286,4.429530201342282
0,0,1650,58.23416453401687,289.22968385228387,0.8954999636524984,52.32829062753538,27.584457762038156,827.5337328611446,3.6241610738255035
0,0,1650,138.71510484271153,688.9516873854672,0.45686365558398895,119.24537726889048,14.318552015036847,429.5565604511054,4.832214765100671
0,0,1650,77.93265718229135,387.0655306720471,0.3169071866706996,52.92343526265185,28.93463047242721,868.0389141728162,8.053691275167784
0,0,1650,47.217337489613946,234.5127761984159,0.49757017488295563,30.605881787655946,25.172965037520985,755.1889511256296,6.845637583892617
0,0,1800,39.292465740448606,195.1525798442281,0.5611425584467333,21.560380330595898,32.2496834021681,967.4905020650432,8.25503355704698
0,0,1800,133.9037019270299,665.0550529042487,0.4938900402273461,115.9079807433462,21.525843580593143,645.7753074177944,5.8389261744966445
0,0,1800,87.48308703314619,434.49933226462616,0.4018025399392411,60.6897849724329,21.28190261379994,638.4570784139983,8.053691275167784
0,0,1800,68.00147373200124,337.74065286893955,0.43460860437308557,52.49314240927011,22.962627478679018,688.8788243603705,6.644295302013423
0,0,1950,52.250297251945355,259.5098096846619,0.3472333563080388,33.70830758136629,32.65629206198137,979.6887618594408,7.248322147651007
0,0,1950,108.61171148656551,539.438167049942,0.08692634917584431,96.8224147602213,18.364772294364208,550.9431688309263,5.23489932885906
0,0,1950,78.51076470311128,389.9367980254527,0.1591275107966638,55.1885857764095,22.13691506993121,664.1074520979364,7.248322147651007
0,0,1950,61.65377394082117,306.21374390607843,0.31116768331990674,46.69218350002366,19.756659361911957,592.6997808573586,5.8389261744966445
0,0,2100,86.39104514334875,429.07552421196556,0.07196059099144178,62.31340144784405,16.280982604308164,488.4294781292449,7.248322147651007
0,0,2100,111.93267469559625,555.9322843214611,0.6101024845512311,76.05162720152607,23.979837451833358,719.3951235550006,6.845637583892617
0,0,2100,116.21665671289628,577.2093950073848,0.6914832870706376,86.62055183384584,25.661441245979905,769.843237379397,7.449664429530201
0,0,2100,45.03497528114544,223.67371056302238,0.12776582009138612,28.899826989101566,28.483750544799115,854.5125163439736,6.442953020134228
